year,province,technology,generation
2022,Alberta,Biomass,1823869.0
2022,Alberta,Combustible fuels,64598645.0
2022,Alberta,Hydro,2256567.0
2022,Alberta,Non-renewable combustibles,62774776.0
2022,Alberta,Solar,850958.0
2022,Alberta,Wind,7215800.0
2022,British Columbia,Biomass,3150099.0
2022,British Columbia,Combustible fuels,4810408.0
2022,British Columbia,Hydro,62583879.0
2022,British Columbia,Non-renewable combustibles,1660309.0
2022,British Columbia,Solar,5291.0
2022,British Columbia,Wind,1434044.0
2022,Manitoba,Biomass,83032.0
2022,Manitoba,Combustible fuels,111641.0
2022,Manitoba,Hydro,36737324.0
2022,Manitoba,Non-renewable combustibles,28609.0
2022,Manitoba,Solar,222.0
2022,Manitoba,Wind,988756.0
2022,New Brunswick,Biomass,561860.0
2022,New Brunswick,Combustible fuels,4958475.0
2022,New Brunswick,Hydro,3317297.0
2022,New Brunswick,Non-renewable combustibles,4396615.0
2022,New Brunswick,Nuclear,3539920.0
2022,New Brunswick,Solar,0.0
2022,New Brunswick,Wind,555698.0
2022,Newfoundland and Labrador,Biomass,28457.0
2022,Newfoundland and Labrador,Combustible fuels,1227653.0
2022,Newfoundland and Labrador,Hydro,40156473.0
2022,Newfoundland and Labrador,Non-renewable combustibles,1199196.0
2022,Newfoundland and Labrador,Solar,0.0
2022,Newfoundland and Labrador,Wind,177923.0
2022,Nova Scotia,Biomass,175489.0
2022,Nova Scotia,Combustible fuels,6726593.0
2022,Nova Scotia,Hydro,883221.0
2022,Nova Scotia,Non-renewable combustibles,6551104.0
2022,Nova Scotia,Solar,0.0
2022,Nova Scotia,Wind,1380591.0
2022,Ontario,Biomass,1075796.0
2022,Ontario,Combustible fuels,18568966.0
2022,Ontario,Hydro,39510420.0
2022,Ontario,Non-renewable combustibles,17493170.0
2022,Ontario,Nuclear,78761095.0
2022,Ontario,Solar,2285759.0
2022,Ontario,Wind,14307157.0
2022,Prince Edward Island,Biomass,3584.0
2022,Prince Edward Island,Combustible fuels,5933.0
2022,Prince Edward Island,Hydro,0.0
2022,Prince Edward Island,Non-renewable combustibles,2349.0
2022,Prince Edward Island,Solar,579.0
2022,Prince Edward Island,Wind,526379.0
2022,Quebec,Biomass,1256285.0
2022,Quebec,Combustible fuels,2045926.0
2022,Quebec,Hydro,202857888.0
2022,Quebec,Non-renewable combustibles,789641.0
2022,Quebec,Nuclear,
2022,Quebec,Solar,14448.0
2022,Quebec,Wind,10897227.0
2022,Saskatchewan,Biomass,28667.0
2022,Saskatchewan,Combustible fuels,19276095.0
2022,Saskatchewan,Hydro,3304033.0
2022,Saskatchewan,Non-renewable combustibles,19247428.0
2022,Saskatchewan,Solar,30097.0
2022,Saskatchewan,Wind,1585950.0
2023,Alberta,Biomass,1890833.0
2023,Alberta,Combustible fuels,62545768.0
2023,Alberta,Hydro,1964256.0
2023,Alberta,Non-renewable combustibles,60654935.0
2023,Alberta,Solar,2293999.0
2023,Alberta,Wind,10365759.0
2023,British Columbia,Biomass,3813013.0
2023,British Columbia,Combustible fuels,5274995.0
2023,British Columbia,Hydro,49132268.0
2023,British Columbia,Non-renewable combustibles,1461982.0
2023,British Columbia,Solar,3591.0
2023,British Columbia,Wind,1692099.0
2023,Manitoba,Biomass,95817.0
2023,Manitoba,Combustible fuels,124871.0
2023,Manitoba,Hydro,32307484.0
2023,Manitoba,Non-renewable combustibles,29054.0
2023,Manitoba,Solar,1461.0
2023,Manitoba,Wind,821947.0
2023,New Brunswick,Biomass,509075.0
2023,New Brunswick,Combustible fuels,6686573.0
2023,New Brunswick,Hydro,3768713.0
2023,New Brunswick,Non-renewable combustibles,6177498.0
2023,New Brunswick,Nuclear,4745491.0
2023,New Brunswick,Solar,771.0
2023,New Brunswick,Wind,620610.0
2023,Newfoundland and Labrador,Biomass,20461.0
2023,Newfoundland and Labrador,Combustible fuels,1000990.0
2023,Newfoundland and Labrador,Hydro,44938488.0
2023,Newfoundland and Labrador,Non-renewable combustibles,980529.0
2023,Newfoundland and Labrador,Solar,0.0
2023,Newfoundland and Labrador,Wind,172259.0
2023,Nova Scotia,Biomass,301579.0
2023,Nova Scotia,Combustible fuels,6017210.0
2023,Nova Scotia,Hydro,959527.0
2023,Nova Scotia,Non-renewable combustibles,5715631.0
2023,Nova Scotia,Solar,2395.0
2023,Nova Scotia,Wind,1298058.0
2023,Ontario,Biomass,1354757.0
2023,Ontario,Combustible fuels,22724032.0
2023,Ontario,Hydro,38826415.0
2023,Ontario,Non-renewable combustibles,21369275.0
2023,Ontario,Nuclear,79820348.0
2023,Ontario,Solar,2301785.0
2023,Ontario,Wind,12580366.0
2023,Prince Edward Island,Biomass,3767.0
2023,Prince Edward Island,Combustible fuels,5650.0
2023,Prince Edward Island,Hydro,0.0
2023,Prince Edward Island,Non-renewable combustibles,1883.0
2023,Prince Edward Island,Solar,539.0
2023,Prince Edward Island,Wind,498010.0
2023,Quebec,Biomass,1276759.0
2023,Quebec,Combustible fuels,1951057.0
2023,Quebec,Hydro,184021839.0
2023,Quebec,Non-renewable combustibles,674298.0
2023,Quebec,Nuclear,
2023,Quebec,Solar,12926.0
2023,Quebec,Wind,9605591.0
2023,Saskatchewan,Biomass,52887.0
2023,Saskatchewan,Combustible fuels,19934535.0
2023,Saskatchewan,Hydro,2703966.0
2023,Saskatchewan,Non-renewable combustibles,19881648.0
2023,Saskatchewan,Solar,49063.0
2023,Saskatchewan,Wind,1985281.0
2024,Alberta,Biomass,1462826.0
2024,Alberta,Combustible fuels,63132914.0
2024,Alberta,Hydro,1826268.0
2024,Alberta,Non-renewable combustibles,61670088.0
2024,Alberta,Solar,2792114.0
2024,Alberta,Wind,12831194.0
2024,British Columbia,Biomass,3895425.0
2024,British Columbia,Combustible fuels,5534775.0
2024,British Columbia,Hydro,51729850.0
2024,British Columbia,Non-renewable combustibles,1639350.0
2024,British Columbia,Solar,3392.0
2024,British Columbia,Wind,1775914.0
2024,Manitoba,Biomass,81702.0
2024,Manitoba,Combustible fuels,108572.0
2024,Manitoba,Hydro,29422657.0
2024,Manitoba,Non-renewable combustibles,26870.0
2024,Manitoba,Solar,1738.0
2024,Manitoba,Wind,908364.0
2024,New Brunswick,Biomass,588934.0
2024,New Brunswick,Combustible fuels,6068877.0
2024,New Brunswick,Hydro,2629267.0
2024,New Brunswick,Non-renewable combustibles,5479943.0
2024,New Brunswick,Nuclear,1766511.0
2024,New Brunswick,Solar,2575.0
2024,New Brunswick,Wind,983028.0
2024,Newfoundland and Labrador,Biomass,1635.0
2024,Newfoundland and Labrador,Combustible fuels,1119879.0
2024,Newfoundland and Labrador,Hydro,41070460.0
2024,Newfoundland and Labrador,Non-renewable combustibles,1118244.0
2024,Newfoundland and Labrador,Solar,0.0
2024,Newfoundland and Labrador,Wind,173814.0
2024,Nova Scotia,Biomass,353119.0
2024,Nova Scotia,Combustible fuels,6502717.0
2024,Nova Scotia,Hydro,728045.0
2024,Nova Scotia,Non-renewable combustibles,6149598.0
2024,Nova Scotia,Solar,2744.0
2024,Nova Scotia,Wind,1597435.0
2024,Ontario,Biomass,1351712.0
2024,Ontario,Combustible fuels,28803268.0
2024,Ontario,Hydro,39282645.0
2024,Ontario,Non-renewable combustibles,27451556.0
2024,Ontario,Nuclear,79968639.0
2024,Ontario,Solar,2324796.0
2024,Ontario,Wind,13861762.0
2024,Prince Edward Island,Biomass,3637.0
2024,Prince Edward Island,Combustible fuels,5500.0
2024,Prince Edward Island,Hydro,0.0
2024,Prince Edward Island,Non-renewable combustibles,1863.0
2024,Prince Edward Island,Solar,32073.0
2024,Prince Edward Island,Wind,531692.0
2024,Quebec,Biomass,1544944.0
2024,Quebec,Combustible fuels,2330029.0
2024,Quebec,Hydro,172164363.0
2024,Quebec,Non-renewable combustibles,785085.0
2024,Quebec,Nuclear,
2024,Quebec,Solar,14590.0
2024,Quebec,Wind,11012617.0
2024,Saskatchewan,Biomass,64204.0
2024,Saskatchewan,Combustible fuels,20097708.0
2024,Saskatchewan,Hydro,2406896.0
2024,Saskatchewan,Non-renewable combustibles,20033504.0
2024,Saskatchewan,Solar,55891.0
2024,Saskatchewan,Wind,2143475.0
2025,Alberta,Biomass,1703587.0
2025,Alberta,Combustible fuels,65825792.0
2025,Alberta,Hydro,2081350.0
2025,Alberta,Non-renewable combustibles,64122205.0
2025,Alberta,Solar,3535210.0
2025,Alberta,Wind,14949839.0
2025,British Columbia,Biomass,3664867.0
2025,British Columbia,Combustible fuels,5504173.0
2025,British Columbia,Hydro,57268726.0
2025,British Columbia,Non-renewable combustibles,1839306.0
2025,British Columbia,Solar,16172.0
2025,British Columbia,Wind,1748692.0
2025,Manitoba,Biomass,46896.0
2025,Manitoba,Combustible fuels,69934.0
2025,Manitoba,Hydro,25418979.0
2025,Manitoba,Non-renewable combustibles,23038.0
2025,Manitoba,Solar,2120.0
2025,Manitoba,Wind,911308.0
2025,New Brunswick,Biomass,710726.0
2025,New Brunswick,Combustible fuels,5921929.0
2025,New Brunswick,Hydro,2555441.0
2025,New Brunswick,Non-renewable combustibles,5211203.0
2025,New Brunswick,Nuclear,3296023.0
2025,New Brunswick,Solar,1933.0
2025,New Brunswick,Wind,1162400.0
2025,Newfoundland and Labrador,Biomass,1846.0
2025,Newfoundland and Labrador,Combustible fuels,1250397.0
2025,Newfoundland and Labrador,Hydro,35929208.0
2025,Newfoundland and Labrador,Non-renewable combustibles,1248551.0
2025,Newfoundland and Labrador,Solar,0.0
2025,Newfoundland and Labrador,Wind,181000.0
2025,Nova Scotia,Biomass,354772.0
2025,Nova Scotia,Combustible fuels,6694044.0
2025,Nova Scotia,Hydro,617270.0
2025,Nova Scotia,Non-renewable combustibles,6339272.0
2025,Nova Scotia,Solar,5863.0
2025,Nova Scotia,Wind,1705060.0
2025,Ontario,Biomass,1362430.0
2025,Ontario,Combustible fuels,35618296.0
2025,Ontario,Hydro,38793227.0
2025,Ontario,Non-renewable combustibles,34255866.0
2025,Ontario,Nuclear,78276140.0
2025,Ontario,Solar,2282600.0
2025,Ontario,Wind,14695153.0
2025,Prince Edward Island,Biomass,4244.0
2025,Prince Edward Island,Combustible fuels,7212.0
2025,Prince Edward Island,Hydro,0.0
2025,Prince Edward Island,Non-renewable combustibles,2968.0
2025,Prince Edward Island,Solar,48684.0
2025,Prince Edward Island,Wind,578080.0
2025,Quebec,Biomass,1376700.0
2025,Quebec,Combustible fuels,1959034.0
2025,Quebec,Hydro,177298645.0
2025,Quebec,Non-renewable combustibles,582334.0
2025,Quebec,Nuclear,
2025,Quebec,Solar,12079.0
2025,Quebec,Wind,11799502.0
2025,Saskatchewan,Biomass,63872.0
2025,Saskatchewan,Combustible fuels,19561486.0
2025,Saskatchewan,Hydro,2828125.0
2025,Saskatchewan,Non-renewable combustibles,19497614.0
2025,Saskatchewan,Solar,46694.0
2025,Saskatchewan,Wind,2726798.0
