ref_date,province,Biomass,Combustible fuels,Hydro,Non-renewable combustibles,Nuclear,Solar,Wind
2017-06-01,Alberta,0.0,5367039.0,366920.0,0.0,,201.0,364247.0
2017-06-01,British Columbia,0.0,470408.0,4757497.0,0.0,,0.0,125968.0
2017-06-01,Manitoba,0.0,9218.0,3043852.0,0.0,,0.0,76542.0
2017-06-01,New Brunswick,0.0,112211.0,206166.0,0.0,473163.0,0.0,59351.0
2017-06-01,Newfoundland and Labrador,0.0,98590.0,2107840.0,0.0,,0.0,16078.0
2017-06-01,Nova Scotia,0.0,527803.0,89506.0,0.0,,0.0,100106.0
2017-06-01,Ontario,0.0,733858.0,3442074.0,0.0,7674082.0,230980.0,600873.0
2017-06-01,Prince Edward Island,0.0,460.0,0.0,0.0,,0.0,43713.0
2017-06-01,Quebec,0.0,187847.0,13894485.0,0.0,0.0,161.0,753018.0
2017-06-01,Saskatchewan,0.0,1249225.0,558153.0,0.0,,0.0,53987.0
2017-07-01,Alberta,0.0,6408119.0,261367.0,0.0,,225.0,256067.0
2017-07-01,British Columbia,0.0,490317.0,5411269.0,0.0,,0.0,102076.0
2017-07-01,Manitoba,0.0,10438.0,3150955.0,0.0,,0.0,59103.0
2017-07-01,New Brunswick,0.0,293232.0,146269.0,0.0,489785.0,0.0,43718.0
2017-07-01,Newfoundland and Labrador,0.0,78485.0,1964579.0,0.0,,0.0,11154.0
2017-07-01,Nova Scotia,0.0,584889.0,56649.0,0.0,,0.0,68883.0
2017-07-01,Ontario,0.0,850472.0,3275406.0,0.0,8330900.0,258681.0,417547.0
2017-07-01,Prince Edward Island,0.0,250.0,0.0,0.0,,0.0,28362.0
2017-07-01,Quebec,0.0,191937.0,15894097.0,0.0,0.0,171.0,616471.0
2017-07-01,Saskatchewan,0.0,1727865.0,282039.0,0.0,,0.0,41144.0
2017-08-01,Alberta,0.0,6480330.0,182821.0,0.0,,210.0,223845.0
2017-08-01,British Columbia,0.0,560058.0,5788968.0,0.0,,0.0,97331.0
2017-08-01,Manitoba,0.0,8431.0,3188950.0,0.0,,0.0,36638.0
2017-08-01,New Brunswick,0.0,367244.0,58592.0,0.0,431080.0,0.0,46597.0
2017-08-01,Newfoundland and Labrador,0.0,88033.0,2191296.0,0.0,,0.0,10546.0
2017-08-01,Nova Scotia,0.0,652676.0,39972.0,0.0,,0.0,70904.0
2017-08-01,Ontario,0.0,974247.0,3115977.0,0.0,7921070.0,261817.0,526197.0
2017-08-01,Prince Edward Island,0.0,423.0,0.0,0.0,,0.0,30713.0
2017-08-01,Quebec,0.0,202666.0,15667599.0,0.0,0.0,160.0,635242.0
2017-08-01,Saskatchewan,0.0,1820165.0,219823.0,0.0,,0.0,34734.0
2017-09-01,Alberta,0.0,5769172.0,158940.0,0.0,,174.0,283605.0
2017-09-01,British Columbia,0.0,455682.0,5368877.0,0.0,,0.0,111022.0
2017-09-01,Manitoba,0.0,15626.0,2794485.0,0.0,,0.0,60910.0
2017-09-01,New Brunswick,0.0,331299.0,76157.0,0.0,471234.0,0.0,51204.0
2017-09-01,Newfoundland and Labrador,0.0,87545.0,2242778.0,0.0,,0.0,12058.0
2017-09-01,Nova Scotia,0.0,559487.0,23624.0,0.0,,0.0,91489.0
2017-09-01,Ontario,0.0,1265350.0,2868947.0,0.0,7060359.0,248919.0,461995.0
2017-09-01,Prince Edward Island,0.0,299.0,0.0,0.0,,0.0,48888.0
